Soma k1,Desvio Padrão k1,Soma k2,Desvio Padrão k2,Soma k3,Desvio Padrão k3,Soma k4,Desvio Padrão k4
27078.0,7.2392462271634335,26.0,0.12643550727544856,28524.0,8.151088500930413,0.0,0.0
27067.0,7.697724679044777,30.0,0.13564084008881688,28499.0,8.715947107708663,73.0,0.2086704564019545
18045.0,7.075363699794874,390.0,0.6850809714916917,18983.0,8.17463949415355,623.0,0.8697770457852978
19856.0,7.318514193468507,400.0,0.6991065727054782,20865.0,8.403658406276103,643.0,0.8862118732983665
19856.0,7.318514193468507,400.0,0.6991065727054782,20865.0,8.403658406276103,643.0,0.8862118732983665
33766.0,7.970444525714987,459.0,0.7653938426555312,35538.0,8.865332674947963,714.0,0.8921103841453702
19856.0,7.318514193468507,400.0,0.6991065727054782,20865.0,8.403658406276103,643.0,0.8862118732983665
29861.0,8.116704394911459,459.0,0.7637589504385529,31454.0,9.23267558389766,722.0,0.9328040724074912
21683.0,7.518797043701539,388.0,0.6402684983661152,22810.0,8.529541953557647,598.0,0.8316014294720759
21683.0,7.518797043701539,388.0,0.6402684983661152,22810.0,8.529541953557647,598.0,0.8316014294720759
23793.0,7.8050552278235035,408.0,0.6745183466741287,25051.0,8.872803403342992,639.0,0.8738561720185994
31639.0,7.851017027072034,459.0,0.7513838795016832,33300.0,8.939160684874167,737.0,0.931235528411046
24802.0,10.529601057851147,759.0,1.1177402915592691,26137.0,11.689492326845292,1020.0,1.2241706376155246
24646.0,10.600801193188182,762.0,1.1327779736117753,25959.0,11.758466348098931,1025.0,1.2273852734064394
23728.0,10.982649953449304,841.0,1.2131955157248975,25009.0,12.124476776726285,1065.0,1.265432084062594
24646.0,10.600801193188182,762.0,1.1327779736117753,25959.0,11.758466348098931,1025.0,1.2273852734064394
25952.0,10.007452223218456,694.0,1.037719103370464,27297.0,11.16252433857929,965.0,1.1696645819956248
30092.0,7.59352972931561,1407.0,1.4079504996181509,31749.0,8.714342501553114,1451.0,1.3516481548002794
